StudentID,FullName,Gender,DOB,DepartmentID,Level,EntryYear
STU_300001,Thomas Smith,Male,1997-06-04,DEPT_001,200,2023
STU_100002,Bethan Collins,Female,1996-12-22,DEPT_006,100,2024
STU_400003,Rhys Phillips,Female,2000-01-24,DEPT_003,200,2023
STU_200004,Ashleigh Green,Male,2006-10-30,DEPT_006,500,2020
STU_200005,Hazel Spencer,Female,2002-11-19,DEPT_001,400,2021
STU_100006,Karl Thornton,Male,2002-11-08,DEPT_003,300,2022
STU_200007,Dale Curtis,Female,2004-02-06,DEPT_005,100,2024
STU_400008,Joanne Baker,Female,2001-08-02,DEPT_003,300,2022
STU_300009,Shannon Jones,Male,2000-02-20,DEPT_004,500,2020
STU_500010,Gerard Wilson,Female,1994-06-17,DEPT_006,100,2024
STU_200011,Chelsea O'Sullivan,Female,2000-11-05,DEPT_005,400,2021
STU_400012,Paige Bell,Male,1995-06-21,DEPT_002,200,2023
STU_400013,Clive Wilson-Taylor,Female,1999-01-04,DEPT_001,400,2021
STU_400014,Amber Burgess,Female,1999-07-28,DEPT_006,200,2023
STU_100015,Mary Walker,Male,2002-10-27,DEPT_006,400,2021
STU_200016,Lindsey Johnson,Female,2003-02-18,DEPT_006,400,2021
STU_100017,Derek Moore,Male,1997-02-19,DEPT_002,300,2022
STU_500018,Aian Martin-Wheeler,Male,2007-09-17,DEPT_001,200,2023
STU_300019,Graham Willia-Jones,Female,1995-03-01,DEPT_003,400,2021
STU_200020,Chloe Ball,Male,1995-12-22,DEPT_006,400,2021
STU_100021,Marilyn Rose,Male,1997-07-11,DEPT_003,200,2023
STU_400022,Wayne Black,Female,1995-12-16,DEPT_002,200,2023
STU_400023,Marc Ellis,Female,2002-05-11,DEPT_006,400,2021
STU_400024,Denis Barker,Male,1999-08-05,DEPT_002,100,2024
STU_400025,Claire Stanley-Simpson,Male,2002-09-11,DEPT_006,100,2024
STU_200026,Sophie Holmes,Female,2006-04-11,DEPT_002,300,2022
STU_200027,Sean Smith,Female,2002-06-25,DEPT_002,300,2022
STU_100028,Emily Knowles,Male,1997-02-15,DEPT_001,100,2024
STU_200029,Glen Fry,Male,2001-12-19,DEPT_006,500,2020
STU_200030,Chelsea Kaur,Female,1994-09-14,DEPT_003,200,2023
STU_200031,Hilary King-Jones,Male,2007-03-20,DEPT_002,400,2021
STU_100032,Judith Dunn,Male,2002-01-18,DEPT_004,500,2020
STU_400033,Lucy Bishop,Male,2007-02-28,DEPT_001,100,2024
STU_200034,Michael Wilkinson-Noble,Female,2006-11-14,DEPT_002,100,2024
STU_100035,Katherine Day,Female,1999-08-20,DEPT_002,200,2023
STU_300036,Amy Abbott,Male,1998-09-19,DEPT_002,100,2024
STU_500037,Lewis Patel,Female,2007-09-23,DEPT_005,200,2023
STU_300038,Alexana Ada,Female,1994-07-10,DEPT_004,100,2024
STU_200039,Jeremy Stevens,Female,2001-04-08,DEPT_004,100,2024
STU_300040,Owen Parker,Female,2000-10-26,DEPT_001,400,2021
STU_200041,Jennifer Thompson,Male,1995-05-03,DEPT_001,300,2022
STU_100042,Raymond Carter,Female,1997-01-18,DEPT_002,400,2021
STU_500043,Raymond Edwards,Male,2000-10-09,DEPT_003,200,2023
STU_100044,Holly Evans,Male,2003-12-25,DEPT_003,300,2022
STU_500045,Mohamed McDonald,Female,2005-11-12,DEPT_004,100,2024
STU_100046,Janet Smart-Griffin,Male,2000-06-07,DEPT_003,500,2020
STU_200047,James Newman,Male,2004-10-24,DEPT_003,500,2020
STU_400048,Hilary Houghton,Male,1997-03-26,DEPT_006,400,2021
STU_500049,Craig Davies-Brown,Female,2005-03-01,DEPT_005,300,2022
STU_500050,Molly Booth,Male,2005-07-18,DEPT_002,200,2023
STU_300051,Pamela Clark,Female,2006-06-07,DEPT_001,100,2024
STU_100052,Marie Bray,Male,1994-08-07,DEPT_002,100,2024
STU_100053,Cameron Daniels,Female,1999-02-25,DEPT_004,300,2022
STU_300054,Abdul Houghton,Female,1996-06-12,DEPT_005,500,2020
STU_400055,Mandy McDonald,Male,2002-07-14,DEPT_001,100,2024
STU_500056,Declan Burrows-Hardy,Female,2007-08-02,DEPT_001,100,2024
STU_500057,Louise Murphy,Female,1998-05-01,DEPT_003,200,2023
STU_400058,Jenna Perry,Female,2000-12-28,DEPT_005,200,2023
STU_500059,Angela Akhtar,Female,2000-06-27,DEPT_001,300,2022
STU_500060,Kathleen O'Brien,Female,1995-04-06,DEPT_005,500,2020
STU_300061,Guy Smith,Male,2006-05-07,DEPT_002,500,2020
STU_200062,Duncan Jones,Male,1994-08-23,DEPT_001,500,2020
STU_400063,Sara Gardner,Male,1995-06-24,DEPT_004,400,2021
STU_300064,Guy Taylor,Male,2007-05-05,DEPT_003,300,2022
STU_400065,James Smith,Female,1998-07-05,DEPT_002,200,2023
STU_200066,Janet Hunt,Male,2000-07-12,DEPT_006,100,2024
STU_300067,Bradley Sharp,Male,2004-12-01,DEPT_002,100,2024
STU_300068,Elaine Moore-Howard,Female,2001-10-29,DEPT_005,300,2022
STU_400069,Julian Jones,Female,1999-07-05,DEPT_003,500,2020
STU_300070,Mathew Leonard-Evans,Male,2006-04-07,DEPT_004,100,2024
STU_100071,Megan Curtis,Female,2000-09-05,DEPT_002,100,2024
STU_500072,Alexana Morris,Male,1997-07-14,DEPT_006,200,2023
STU_400073,Dawn Butler,Male,2005-11-06,DEPT_004,500,2020
STU_500074,Kieran Evans,Female,1998-01-14,DEPT_004,500,2020
STU_200075,Emily Rowley,Female,2003-06-29,DEPT_003,400,2021
STU_300076,Leslie Harris,Male,2003-12-25,DEPT_002,300,2022
STU_200077,Alison Walton,Male,1998-08-12,DEPT_004,200,2023
STU_200078,Conor Boyle,Male,2003-04-13,DEPT_003,100,2024
STU_300079,Patricia Rose,Male,2000-06-03,DEPT_004,100,2024
STU_300080,Emma Smith,Female,1998-12-15,DEPT_005,300,2022
STU_500081,Jay Owen,Female,1995-05-31,DEPT_002,500,2020
STU_300082,Suzanne Anderson,Female,2007-09-04,DEPT_004,100,2024
STU_200083,Sam Morgan,Female,2001-11-08,DEPT_006,100,2024
